Name,Platform,Size,Date,Plus,,
Assassin’s Creed® IV Black Flag Aveline’s Mission,PS4,581.06MB,11/16/2013,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Facpkgo%2Fprod%2FCUSA00010_00%2F21%2Fi_7bc3430480d30f2066be4d6948a99263ac1d050a61ed2d2e2c22f9fc6540c1cc%2Fi%2Ficon0.png&sign=8aa067bd0a0784f53eb56bfd7c942e9fbc8fd549,
Assassin’s Creed® IV Black Flag Uplay Passport,PS4,1.06MB,11/16/2013,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Facpkgo%2Fprod%2FCUSA00010_00%2F27%2Fi_f2427ec640dbb5e46ef0c0eed8fe81c72f420c5015c5faf6fcace230c9d1e4ea%2Fi%2Ficon0.png&sign=ef4c4815ae84d2b762e8eb3e296992f62791c752,
RESOGUN™,PS4,439.5MB,11/16/2013,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00038_00%2F2%2Fi_8247e1ac874d8caf79b6540402e130b368efae53d9377a3d1e8e95ca0fce7d9f%2Fi%2Ficon0.png&sign=4e9426e8ba8ff8baba31c08fa9e1098799571972,
Contrast,PS4,2.18GB,11/16/2013,Yes,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00011_00%2F4%2Fi_0a634e65c3bc49d1577b1d634992841e2106bbb76fbada23c377a4253a291336%2Fi%2Ficon0_01.png&sign=55aeb55608b669f5bd811a4ec29e5aa8f7088e87,
Warframe,PS4,3.9GB,11/16/2013,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00080_00%2F7%2Fi_a87ce0bb6c6e531473a9e551a252c46502541a233e8fb840f1e71afb349bdee8%2Fi%2Ficon0.png&sign=f82f1e020c34cca5cd955906cccf76f24bf9f89a,
Netflix,PS4,25MB,11/16/2013,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00129_00%2F5%2Fi_efbc000e87f0b2756c021a032d9695e82e6468910d525c6471819f7f24254541%2Fi%2Ficon0.png&sign=4ae5159ddbdc12418729ff24ce430b926422c7a0,
Redbox Instant,PS4,38.38MB,11/20/2013,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00145_00%2F3%2Fi_106df3944c73b089c1278a195e20f40dd7c790aac5ba30cf467187341a3b1017%2Fi%2Ficon0_01.png&sign=d6261c6e713ae27db21d22f2dc430d308d9bb75c,
Blacklight: Retribution,PS4,4.57GB,2/8/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00042_00%2F3%2Fi_18c36c7f592dfd01993284ab8746fe0d579949bc4fe04f1d43edf028ec26b710%2Fi%2Ficon0.png&sign=44ec6d25f782c5e73681f708e5347ff951559b72,
Outlast,PS4,4.01GB,2/8/2014,Yes,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00325_00%2F3%2Fi_c3f61f6b006d42a3c399714e41884e1512d5d72cd0a674727951d5e5fdf7feaa%2Fi%2Ficon0.png&sign=b9105d69142ed731c44eb444b07ce7884afa1831,
WWE,PS4,42.81MB,2/22/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00429_00%2F1%2Fi_ea0a039fcec9b03e3e9b0ed2de18ea075247e0954f5f7c19e7d81f34fc6fef87%2Fi%2Ficon0.png&sign=f59c767744fbfa2a0acd1a06f7919302cc8b1df9,
Dead Nation™: Apocalypse Edition,PS4,2.18GB,3/19/2014,Yes,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00236_00%2F1%2Fi_465874ba71f3052330ee86207782639b8a8e236482fa25592d5464f3262fe383%2Fi%2Ficon0.png&sign=443e735b7fb5e87ce096210fca3c3147dc0e3c3f,
PixelJunk™ Shooter Ultimate,PS4,451MB,6/21/2014,Yes,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00657_00%2F3%2Fi_07e7b5c0151162bc70a8ef0d47d4242db0ed1564a89ab9d3ee65b4bad434c5bc%2Fi%2Ficon0.png&sign=303e041813f2e29d7733ae5f651894cb9019b63f,
Trine 2: Complete Story,PS4,2.46GB,6/21/2014,Yes,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00234_00%2F3%2Fi_b0acd61786bd0aacb4b27ddd90d82ac46ea35dff5f5f9b8482c6ae66aa6f5e7e%2Fi%2Ficon0.png&sign=dd85a913d5cc276f7c73f82aa271e8c003dd42ba,
TowerFall Ascension,PS4,315.38MB,7/15/2014,Yes,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00466_00%2F3%2Fi_fd5115f9a961c2d99c4cef0a212f51ace1aa309c31ee30086babd5acfb58e17f%2Fi%2Ficon0.png&sign=9c2c9839375528cfa6faa884bf7fc899278adb84,
Doki-Doki Universe™,PS4,513.56MB,7/17/2014,Yes,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00036_00%2F4%2Fi_671be869f5e14e00b6cdb8a47eed2bd90a77941832c40a3c56dd88b6000e8c79%2Fi%2Ficon0.png&sign=bee63fb1286d2ea2bc79a3b28ae2eeed28e481d6,
Strider,PS4,2.69GB,7/17/2014,Yes,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00057_00%2F3%2Fi_3f215942ec97fdb381c5092d06b69de1a660b3004ccd255a37fda82ecad26d8d%2Fi%2Ficon0.png&sign=d2f23d58e53c45c23951158c827d7c54514e41f1,
VUDU™ HD Movies,PS4,15.81MB,9/1/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00096_00%2F4%2Fi_dc55aaa8635b72d778374dc66a9b19406d2f3e6c3ff59ba76d1e50171a078d4a%2Fi%2Ficon0.png&sign=d27d9bf9d065dcd8797afb977f69bcd1572114df,
Sportsfriends,PS4,433.44MB,9/7/2014,Yes,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00700_00%2F2%2Fi_15a7f43cbea841296c643f4a881946423bbf5e67e8146fb072c2b455dc8295d9%2Fi%2Ficon0.png&sign=26c702ea17b8f689c88ea5bf2ac78984620afd6a,
Velocity®2X,PS4,2.21GB,9/7/2014,Yes,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00384_00%2F3%2Fi_d1214e2f37eb30f340469067a62f4e5dbc6e3e63651de86f726f05ae69d07b97%2Fi%2Ficon0.png&sign=2f04fc8627cbc93b6f8ead2e2744d697b102049f,
P.T.,PS4,1.26GB,9/27/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA01127_00%2F1%2Fi_3b9868a8ac64aae638421dceb35ed7b4d172c589de6f03cda2bf8bd0985b9e78%2Fi%2Ficon0.png&sign=a98a72deb376613733b24600cbc6fb9819f2cf49,
Spelunky,PS4,330.56MB,10/11/2014,Yes,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00493_00%2F7%2Fi_3fc0b0921f4c124b7921eab56b0b34e3cadc6ba2b57800caa349d2f2702b4553%2Fi%2Ficon0.png&sign=cc19b1a15a032ebc5e44554b9d0bfc664913185e,
Dust: An Elysian Tail,PS4,1.21GB,10/11/2014,Yes,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA01326_00%2F3%2Fi_5869c5c1dbd384e2ba456363e2e2e3cb217d56f969fe7a3dc85097686def52ce%2Fi%2Ficon0.png&sign=7ab7b6ac2cbdef0155ddc396adddc3b52a8fa84d,
Sleeping Dogs Nightmare In North Point Pack,PS3,170.83MB,10/19/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fapollo.dl.playstation.net%2Fcdn%2FUP0082%2FBLUS30927_00%2F3s3rjFYnEzXZYKkjHzAeCIbGrXNnhuVI.png&sign=79cd6d88851aed0c15773e30c5f594ef50b81ddb,
Assassin’s Creed® Unity Siege of Maastricht Hood,PS4,1.06MB,11/11/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Facpkgo%2Fprod%2FCUSA00663_00%2F111%2Fi_c3e8cf95394d28eff3948f8b9c0df9a3085d8829646f52b4f5767f166585f7a9%2Fi%2Ficon0.png&sign=fe3c240a4d35c3e799826886ab135360e20ae500,
Assassin’s Creed® Unity Arno's French Rapier,PS4,1.06MB,11/11/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Facpkgo%2Fprod%2FCUSA00663_00%2F97%2Fi_f7ee53535fd1fb356db3896c0d330a10eda138c9402e91adab181941aef8ad97%2Fi%2Ficon0.png&sign=7c221254dfab7b99308706154743093773179385,
Assassin’s Creed® Unity Parade Pistol,PS4,1.06MB,11/11/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Facpkgo%2Fprod%2FCUSA00663_00%2F99%2Fi_c0b3795ff42f9ceff6751e5ba67fabf725733f9d9c6b3d24179ea835a81cc104%2Fi%2Ficon0.png&sign=31784e18ee460fca9a4049d6c30656341fbe085e,
Assassin’s Creed® Unity The American Prisoner Mission,PS4,1.06MB,11/11/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Facpkgo%2Fprod%2FCUSA00663_00%2F120%2Fi_900d1937d108a122a51f32c5350b954f9bc80bab9d3af607db37a10d51c1a765%2Fi%2Ficon0.png&sign=f4035cf2e2a038c813b35c0c521588794847eefd,
Assassin’s Creed® IV Black Flag Freedom Cry,PS4,3.5GB,11/16/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Facpkgo%2Fprod%2FCUSA00010_00%2F46%2Fi_63d1197d31ff34527bf16d18c4bcdfe5590e47420fef98c9b93bd3f924c9e3af%2Fi%2Ficon0.png&sign=036bde66c197422b194419edae1ab7b98fee3110,
Rectangular,PS4,24.75MB,11/20/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Facpkgo%2Fprod%2FCUSA01474_00%2F1%2Fi_a532aa379beb0e9db2f9283a8041cc5808d515a017df8a28add7fcf3a348e2a1%2Fi%2Ficon0.png&sign=386d5583f6f323135ec34c1ff33cf18f864c831a,
Assassin's Creed® Revelations Uplay Passport,PS3,100KB,11/26/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fapollo.dl.playstation.net%2Fcdn%2FUP0001%2FBLUS30808_00%2FfDAPRJfdBmGiZurDghiqXQzGxpHHOsVu.png&sign=e34698cc52882764c4b3d80767e7fa3f7c40154e,
"The Walking Dead: Season 2 - Ep.1, All That Remains Demo",PS3,710.46MB,11/26/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fapollo.dl.playstation.net%2Fcdn%2FUP2026%2FNPUB31404_00%2FBPNwOxvi0FxpZHoNHkAgTqICLVQVi4WB.png&sign=55a092444f7b831d47e3fa44e48b6b2646090718,
"The Walking Dead: Season 2 - Ep.1, All That Remains",PS3,2.72MB,11/26/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fapollo.dl.playstation.net%2Fcdn%2FUP2026%2FNPUB31404_00%2FBPNwOxvi0FxpZHoNHkAgTqICLVQVi4WB.png&sign=55a092444f7b831d47e3fa44e48b6b2646090718,
Army of TWO™ The Devil’s Cartel Online Pass,PS3,3.76MB,11/26/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fapollo.dl.playstation.net%2Fcdn%2FUP0006%2FNPUB30987_00%2FZKJf98G5RJ0ddMDPvTffcRAXYm8DOpV7.png&sign=216f68bbfc4e5915398476ddbd21635bef5fdff4,
Army of TWO™ The Devil’s Cartel,PS3,6.98GB,11/26/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fapollo.dl.playstation.net%2Fcdn%2FUP0006%2FNPUB30987_00%2FZKJf98G5RJ0ddMDPvTffcRAXYm8DOpV7.png&sign=216f68bbfc4e5915398476ddbd21635bef5fdff4,
The Binding of Isaac: Rebirth,PS4,476.5MB,11/26/2014,Yes,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00792_00%2F3%2Fi_55f208222cc234f70562ec47a006d926d4cd2b9f5cc701c403aaccfed477856d%2Fi%2Ficon0.png&sign=d2bd7a061e05ab40266b12d4cf0c717cb6f39357,
The Last of Us™ Remastered,PS4,40.55GB,11/27/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00552_00%2F10%2Fi_3a8109a7e1cd48c2be2d516eaafde9be30d63416b51a720f65af871bc536e541%2Fi%2Ficon0.png&sign=15e29b1fb381df6c5c4965172545259a83de9519,
Assassin's Creed® Rogue - Templar Pack,PS3,100KB,11/28/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fapollo.dl.playstation.net%2Fcdn%2FUP0001%2FBLUS31465_00%2FwJ0PC8ISNRvfrbLXhgRVd2ItlnPvmPtU.png&sign=6bc392ded91f9fef59e0542fc45457820809f1e2,
Assassin's Creed® Brotherhood Animus Project Update 1.0,PS3,185.31MB,11/29/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fapollo.dl.playstation.net%2Fcdn%2FUP0001%2FBLUS30537_00%2FqsTpCgZhtSlUbQrBiOsgNgmJTcnkVnUv.png&sign=ae62f0c0d74c5756fbcf477d7fd091052fc55610,
Assassin's Creed® Brotherhood Animus Project Update 2.0,PS3,191.42MB,11/29/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fapollo.dl.playstation.net%2Fcdn%2FUP0001%2FBLUS30537_00%2FFSeYMaVBkdwlUlEcHFTwuodUpESSDdCD.png&sign=bcd3121e5158aaae3d2e548fc126c31a5aac1211,
Assassin's Creed® Brotherhood Copernicus Conspiracy Missions,PS3,329.29MB,11/29/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fapollo.dl.playstation.net%2Fcdn%2FUP0001%2FBLUS30537_00%2F7SF1nUHmCTKUGyCS03867RkTkMolbgIq.png&sign=5e684b2fcf0c9d1beda533145f22aedd6b4d2196,
Assassin's Creed® Brotherhood The Da Vinci Disappearance,PS3,1.6GB,12/1/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fapollo.dl.playstation.net%2Fcdn%2FUP0001%2FBLUS30537_00%2FdqXmRWxdJbAqWYdLGNyvjeCdFcWDdCyo.png&sign=22dd94f490fd36626517dc32ae17d0e39b1ad35b,
Mirror's Edge,PS3,4.86GB,12/6/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fapollo.dl.playstation.net%2Fcdn%2FUP0006%2FNPUB30838_00%2FQu2GFymOnV3N5zmnElRPnj2jvDhAexTC.png&sign=12af87d9e60c31100b6eab5c31263822983046c8,
Plants vs Zombies Garden Warfare,PS4,13.01GB,12/7/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA00453_00%2F3%2Fi_0efa3505d404b34398cbda30266d290fc1210196658c70161a8c2ed0a953ac1d%2Fi%2Ficon0_01.png&sign=4018fc72e1be35697efdd00ae3845c4b4f963bc6,
Assassin's Creed® Revelations Ancestors Character Pack,PS3,1.9MB,12/15/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fapollo.dl.playstation.net%2Fcdn%2FUP0001%2FBLUS30808_00%2FBEFtZNgneAmjTfOhfreAwWARrPSNmSby.png&sign=dc5414263a8beed419a00e56fd7181cadce8b91c,
Assassin's Creed® Revelations Mediterranean Map Pack Unlock,PS3,100KB,12/22/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fapollo.dl.playstation.net%2Fcdn%2FUP0001%2FBLUS30808_00%2FWmPPJauOHGCEZYxvKKEDkgmYTwugTfvH.png&sign=d3b3b9e45f003bfe57bb1691b443b67e1cd0631f,
Assassin's Creed® Revelations Mediterranean Map Pack Trial,PS3,741.1MB,12/22/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fapollo.dl.playstation.net%2Fcdn%2FUP0001%2FBLUS30808_00%2FWmPPJauOHGCEZYxvKKEDkgmYTwugTfvH.png&sign=d3b3b9e45f003bfe57bb1691b443b67e1cd0631f,
The Walking Dead: Season 1,PS4,4.14GB,12/25/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA01019_00%2F15%2Fi_97079dc41dd5ae032f5614fe4ba6b8e1008882c8d650b4b4d0f3038d0cf70064%2Fi%2Ficon0.png&sign=dbec1add57f544e0724f54cb030444e0b0ae29ef,
The Walking Dead: Season 2,PS4,3.99GB,12/25/2014,,https://image.api.np.km.playstation.net/images/?format=png&image=http%3A%2F%2Fgs2-sec.ww.prod.dl.playstation.net%2Fgs2-sec%2Fappkgo%2Fprod%2FCUSA01017_00%2F2%2Fi_ea60ca0ce7cf7ccc4dd4ac50d4a89b9fb36694091d8359d3656b8aee12742101%2Fi%2Ficon0.png&sign=495f78d1e13881be5eca77fba7c138f873375ac6,
